时间_秒,波峰1像素x,波峰2像素x,波峰1直尺读数_厘米,波峰2直尺读数_厘米,像素距离,标定比例_像素每厘米,波峰距离_厘米
21.50,85,549,206.78,187.04,464.0,23.5100,19.736
22.00,136,624,204.61,183.85,488.0,23.5100,20.757
22.50,193,693,202.12,180.85,500.0,23.5100,21.268
23.00,253,744,199.63,178.75,491.0,23.5100,20.885
33.93,162,636,203.46,183.37,474.0,23.5900,20.093
34.00,176,639,202.91,183.21,463.0,23.5100,19.694
38.50,225,693,200.76,180.85,468.0,23.5100,19.906
45.50,112,624,205.69,183.84,512.0,23.4300,21.852
46.00,217,686,201.16,181.21,469.0,23.5100,19.949
47.00,304,773,197.44,177.56,469.0,23.5900,19.881
